consumo_kwh,uso_horario_pico,cantidad_equipos,tipo_vivienda,horas_alto_consumo,categoria
173.68,True,6,Departamento,19,1
583.18,False,10,Departamento,14,2
494.45,False,24,Pequeño Comercio,17,0
109.56,True,11,Casa,19,0
380.47,True,13,Departamento,16,1
243.47,True,9,Departamento,19,0
268.0,False,8,Departamento,16,1
575.19,False,11,Departamento,11,2
709.22,True,15,Casa,18,2
521.22,False,14,Casa,12,1
258.48,True,19,Departamento,18,0
792.95,False,11,Departamento,14,2
420.55,True,22,Pequeño Comercio,21,0
103.39,False,9,Casa,17,0
546.1,False,11,Casa,11,2
411.94,True,10,Departamento,18,2
212.74,True,13,Departamento,21,0
292.4,True,12,Departamento,22,0
532.73,False,12,Departamento,16,2
201.37,True,10,Departamento,17,0
469.55,False,17,Departamento,22,1
412.89,False,11,Departamento,13,1
1033.89,True,14,Casa,20,2
260.01,False,6,Departamento,8,1
366.86,False,17,Departamento,10,0
317.82,True,14,Casa,21,1
375.07,True,6,Departamento,16,2
436.03,True,11,Casa,17,1
680.23,False,23,Casa,9,0
455.0,True,18,Departamento,19,0
441.13,True,13,Casa,20,2
339.26,True,15,Pequeño Comercio,15,0
162.92,True,7,Casa,16,1
310.4,True,15,Departamento,17,0
1023.36,True,24,Casa,20,2
469.9,True,12,Casa,17,1
227.56,True,8,Departamento,16,1
377.46,False,11,Departamento,3,0
373.77,False,15,Departamento,13,0
614.28,False,18,Departamento,12,1
1174.77,True,23,Departamento,17,2
693.2,False,12,Casa,19,2
462.83,True,21,Pequeño Comercio,21,0
622.3,False,25,Pequeño Comercio,23,1
300.72,False,20,Departamento,14,0
691.42,True,21,Casa,18,1
396.06,False,14,Pequeño Comercio,11,0
753.14,False,17,Casa,12,2
1037.71,False,19,Casa,11,2
268.82,True,23,Casa,17,0
192.13,False,9,Departamento,11,0
720.37,False,19,Pequeño Comercio,10,1
69.65,False,5,Pequeño Comercio,13,0
335.37,False,15,Casa,14,0
166.35,False,10,Pequeño Comercio,12,0
284.41,False,20,Casa,13,0
339.2,True,16,Casa,20,0
187.83,False,12,Departamento,9,0
413.32,True,19,Departamento,17,0
498.54,True,13,Casa,18,2
1028.43,False,17,Casa,15,2
611.07,True,11,Casa,17,2
485.5,True,20,Casa,17,0
335.32,True,8,Departamento,17,2
647.26,False,16,Departamento,10,1
391.68,False,10,Casa,8,1
1489.38,True,28,Casa,19,2
260.26,True,10,Casa,21,1
163.7,False,24,Casa,12,0
313.39,False,10,Pequeño Comercio,14,1
103.59,False,6,Departamento,11,0
338.91,False,15,Casa,12,0
343.74,False,14,Departamento,18,0
141.91,False,9,Pequeño Comercio,17,0
185.51,False,14,Casa,14,0
904.58,True,15,Departamento,18,2
496.51,False,10,Departamento,15,2
262.94,True,10,Departamento,16,1
359.25,False,18,Casa,9,0
248.93,False,13,Casa,12,0
699.47,False,12,Departamento,12,2
516.99,True,9,Casa,18,2
987.05,True,21,Casa,18,2
191.72,False,7,Casa,11,0
225.98,False,10,Departamento,19,0
434.4,True,18,Departamento,20,0
824.81,True,11,Departamento,18,2
559.33,False,18,Casa,15,1
529.18,False,13,Pequeño Comercio,9,1
240.71,False,11,Departamento,12,0
1047.93,False,23,Casa,10,1
246.02,True,11,Casa,16,0
404.97,True,15,Pequeño Comercio,18,1
650.55,True,15,Casa,16,2
572.58,True,14,Casa,17,2
575.82,False,10,Departamento,15,2
504.06,True,18,Pequeño Comercio,17,1
352.06,True,15,Departamento,16,0
428.31,True,11,Casa,20,1
256.28,True,7,Departamento,19,1
314.75,False,10,Casa,17,1
939.19,False,18,Casa,7,1
670.09,False,29,Casa,18,0
266.35,True,9,Departamento,19,1
1235.75,True,17,Casa,17,2
519.57,True,13,Casa,21,2
748.66,False,22,Casa,12,1
577.93,False,17,Casa,10,1
312.19,False,10,Casa,15,1
307.41,True,11,Departamento,19,1
1631.56,True,12,Casa,20,2
478.13,False,19,Departamento,9,0
177.13,False,10,Departamento,12,0
221.31,False,7,Pequeño Comercio,17,1
494.64,True,9,Casa,16,2
310.41,False,12,Casa,12,0
197.33,False,8,Casa,11,0
787.32,False,10,Casa,7,2
208.78,True,13,Departamento,18,0
403.8,False,12,Casa,5,0
491.87,True,8,Casa,18,2
232.26,False,12,Casa,17,0
289.7,True,8,Departamento,19,1
106.07,True,7,Departamento,16,0
483.6,True,10,Casa,13,2
769.81,True,14,Casa,18,2
1160.02,False,18,Casa,15,2
662.77,False,14,Departamento,18,2
657.49,True,14,Casa,19,2
528.56,False,16,Departamento,16,1
665.21,True,20,Casa,15,1
452.75,True,15,Casa,21,1
159.65,True,11,Departamento,19,0
1027.09,False,20,Casa,14,2
560.28,False,12,Departamento,9,1
545.83,True,19,Casa,18,1
299.0,False,12,Departamento,17,1
1702.3995720866458,True,12,Casa,19,0
452.27,False,11,Departamento,15,1
238.83,True,11,Casa,21,0
232.14,False,10,Departamento,16,0
554.25,False,20,Casa,11,0
734.11,False,29,Casa,13,0
69.39,False,8,Departamento,19,0
288.03,True,9,Casa,16,1
239.64,True,7,Departamento,22,1
990.42,True,21,Casa,17,2
168.73,True,8,Departamento,19,1
298.47,False,13,Casa,8,0
402.06,False,8,Departamento,11,2
293.56,True,11,Casa,19,1
232.47,True,8,Casa,15,1
773.24,False,22,Casa,16,1
203.56,False,11,Departamento,14,0
812.12,True,16,Casa,23,2
323.37,False,9,Casa,15,1
361.41,False,12,Casa,13,1
265.19,False,15,Departamento,7,0
310.8,False,13,Casa,14,0
404.96,True,10,Casa,22,2
352.64,False,15,Pequeño Comercio,16,0
696.69,False,12,Casa,18,2
713.53,False,24,Pequeño Comercio,14,1
795.02,False,16,Casa,14,2
811.55,False,20,Casa,16,1
370.5,True,15,Casa,19,1
288.48,False,7,Departamento,15,2
558.85,True,12,Casa,19,2
339.57,False,10,Departamento,10,1
476.97,True,11,Casa,18,2
520.87,False,14,Departamento,13,1
306.75,True,10,Casa,19,1
591.34,True,16,Departamento,21,1
944.19,False,18,Casa,13,2
469.63,True,19,Departamento,17,1
151.03,True,11,Departamento,21,0
272.91,False,11,Departamento,15,0
237.18,False,6,Departamento,13,1
