id,tipo_vivienda,metros_cuadrados,habitaciones,baños,antiguedad_vivienda,aislamiento,eficiencia_construccion,paneles_solares,cantidad_personas,trabajo_remoto,horas_en_casa,ingreso_mensual,aires_acondicionados,heladeras,televisores,computadoras,lavadoras,secadoras,cantidad_equipos,calefaccion,electrodomesticos_eficientes,factor_estacional,temperatura_media,consumo_kwh,uso_horario_pico,horas_alto_consumo,tarifa_kwh,costo_estimado,energy_efficiency_score,categoria,aislamiento_enc,eficiencia_construccion_enc,tipo_calefaccion_Gas,tipo_calefaccion_Losa Radiante,tipo_calefaccion_Ninguna,tipo_iluminacion_LED,tipo_iluminacion_Mixta
1,Departamento,90.1,2,2,29.0,Poor,B,0,2,0,8.0,1320.89,0,1,0,0,1,0,2,1,74.2,Otoño,22.9,173.68,1,17,0.75,130.26,41.5,Moderate,0,3,False,False,False,False,True
2,Departamento,88.3,1,1,37.0,Good,C,0,3,0,14.8,1661.13,1,2,2,2,1,0,8,1,73.6,Verano,26.9,583.18,1,16,0.75,437.385,41.5,Moderate,2,2,True,False,False,False,False
3,Pequeño Comercio,177.7,6,3,26.0,Excellent,C,0,7,0,8.0,2725.46,4,2,6,6,0,0,18,1,66.2,Primavera,20.7,494.45,1,19,0.75,370.8375,56.6,Efficient,3,2,False,False,False,False,True
4,Casa,138.6,4,2,5.0,Good,A,1,1,1,17.6,2598.16,2,1,1,1,1,0,6,1,71.4,Otoño,19.3,109.56,1,20,0.75,82.17,83.6,Efficient,2,4,False,False,False,True,False
5,Departamento,57.7,1,1,16.0,Good,B,0,1,1,13.9,1033.34,1,1,1,3,1,0,7,1,75.4,Invierno,7.9,380.47,1,18,0.75,285.3525,39.8,Moderate,2,3,False,False,False,True,False
6,Departamento,88.5,3,1,21.0,Poor,D,0,1,0,11.0,1330.21,2,1,1,0,1,1,6,1,83.6,Primavera,25.7,243.47,1,17,0.75,182.6025,20.9,Inefficient,0,1,False,False,False,False,True
7,Departamento,70.5,1,1,57.0,Poor,E,0,1,0,12.7,709.62,0,1,1,0,1,0,3,0,71.2,Primavera,22.8,268.0,1,18,0.75,201.0,0.0,Inefficient,0,0,False,False,True,False,False
8,Departamento,62.1,1,1,45.0,Good,E,0,2,1,21.2,917.84,0,1,3,3,1,0,8,1,60.3,Primavera,25.7,575.19,1,21,0.75,431.3925,23.3,Inefficient,2,0,True,False,False,False,True
9,Casa,166.8,5,5,20.0,Good,D,0,5,0,20.3,3889.14,4,1,3,1,1,0,10,1,79.7,Primavera,21.9,709.22,1,17,0.75,531.915,60.5,Efficient,2,1,False,False,False,True,False
10,Casa,92.3,2,3,21.0,Poor,A,0,1,1,20.0,723.84,0,1,2,3,1,0,7,0,63.6,Verano,30.8,521.22,1,18,0.75,390.915,2.8,Inefficient,0,4,False,False,True,False,True
11,Departamento,96.5,2,2,41.0,Average,E,0,3,0,9.9,497.6,0,1,6,7,1,0,15,1,50.1,Verano,26.8,258.48,1,18,0.75,193.86,35.0,Moderate,1,0,True,False,False,True,False
12,Departamento,56.0,2,1,17.0,Average,B,0,4,1,19.3,549.18,0,1,5,1,1,0,8,1,71.3,Invierno,11.6,792.95,1,19,0.75,594.7125000000001,36.5,Moderate,1,3,False,False,False,False,True
