id,tipo_vivienda,metros_cuadrados,habitaciones,baños,antiguedad_vivienda,aislamiento,eficiencia_construccion,paneles_solares,cantidad_personas,trabajo_remoto,horas_en_casa,ingreso_mensual,aires_acondicionados,heladeras,televisores,computadoras,lavadoras,secadoras,cantidad_equipos,calefaccion,tipo_calefaccion,tipo_iluminacion,electrodomesticos_eficientes,factor_estacional,temperatura_media,consumo_kwh,uso_horario_pico,horas_alto_consumo,tarifa_kwh,costo_estimado,energy_efficiency_score,categoria
1,Departamento,90.1,2,2,29.0,Poor,B,False,2,False,8.0,1320.89,0,1,0,0,1,0,6,True,Eléctrica,Mixta,74.2,Otoño,22.9,173.68,True,19,0.19,33.0,49.26,Moderado
2,Departamento,88.3,1,1,37.0,Good,C,False,3,False,14.8,1661.13,1,2,2,2,1,0,10,True,Gas,Incandescente,73.6,Verano,26.9,583.18,False,14,0.16,93.31,92.05,Ineficiente
3,Pequeño Comercio,177.7,6,3,26.0,Excellent,C,False,7,False,8.0,2725.46,4,2,6,6,0,0,24,True,Eléctrica,Mixta,66.2,Primavera,20.7,494.45,False,17,0.163,80.6,29.82,Eficiente
4,Casa,138.6,4,2,5.0,Good,A,True,1,True,17.6,2598.16,2,1,1,1,1,0,11,True,Eléctrica,LED,71.4,Otoño,19.3,109.56,True,19,0.176,19.28,15.35,Eficiente
5,Departamento,57.7,1,1,16.0,Good,B,False,1,True,16.9,1033.34,1,1,1,3,1,0,13,True,Eléctrica,LED,75.4,Invierno,7.9,380.47,True,16,0.151,57.45,51.05,Moderado
6,Departamento,88.5,3,1,21.0,Poor,D,False,1,False,11.0,1941.7,2,1,1,0,1,1,9,True,Eléctrica,Mixta,83.6,Primavera,25.7,243.47,True,19,0.182,44.31,42.12,Eficiente
7,Departamento,70.5,1,1,57.0,Poor,E,False,1,False,12.7,709.62,0,1,1,0,1,0,8,False,Ninguna,Incandescente,71.2,Primavera,22.8,268.0,False,16,0.209,56.01,60.02,Moderado
8,Departamento,62.1,1,1,45.0,Good,E,False,2,True,,917.84,0,1,3,3,1,0,11,True,Gas,Mixta,60.3,Primavera,25.7,575.19,False,11,0.198,113.89,73.3,Ineficiente
9,Casa,166.8,5,5,20.0,Good,D,False,5,False,,3889.14,4,1,3,1,1,0,15,True,Eléctrica,LED,,Primavera,21.9,709.22,True,18,0.199,141.13,82.43,Ineficiente
10,Casa,92.3,2,3,21.0,Poor,A,False,1,True,20.0,723.84,0,1,2,3,1,0,14,False,Ninguna,Mixta,63.6,Verano,30.8,521.22,False,12,0.188,97.99,52.19,Moderado
11,Departamento,96.5,2,2,41.0,Average,E,False,3,False,9.9,497.6,0,1,6,7,1,0,19,True,Gas,LED,50.1,Verano,26.8,258.48,True,18,0.177,45.75,21.73,Eficiente
12,Departamento,56.0,2,1,17.0,Average,B,False,4,True,19.3,549.18,0,1,5,1,1,0,11,True,Eléctrica,Mixta,71.3,Invierno,11.6,792.95,False,14,0.21,166.52,116.05,Ineficiente
13,Pequeño Comercio,69.4,4,2,,Excellent,D,False,7,False,14.5,1161.27,1,3,8,7,0,0,22,True,Gas,LED,54.3,Primavera,12.0,420.55,True,21,0.166,69.81,35.93,Eficiente
14,Casa,69.0,1,1,35.0,Excellent,D,True,4,False,8.9,982.55,1,1,1,1,1,0,9,True,Gas,LED,60.0,Primavera,16.2,103.39,False,17,0.166,17.16,20.32,Eficiente
