tipo_vivienda,cantidad_equipos,horas_alto_consumo,consumo_kwh,categoria
Departamento,2,17,173.68,Moderate
Departamento,8,16,583.18,Moderate
Pequeño Comercio,18,19,494.45,Efficient
Casa,6,20,109.56,Efficient
Departamento,7,18,380.47,Moderate
Departamento,6,17,243.47,Inefficient
Departamento,3,18,268.0,Inefficient
Departamento,8,21,575.19,Inefficient
Casa,10,17,709.22,Efficient
Casa,7,18,521.22,Inefficient
Departamento,15,18,258.48,Moderate
Departamento,8,19,792.95,Moderate
Pequeño Comercio,19,20,420.55,Efficient
Casa,5,20,103.39,Efficient
Casa,9,19,546.1,Efficient
Departamento,4,16,411.94,Moderate
Departamento,6,21,212.74,Moderate
Departamento,8,21,292.4,Moderate
Departamento,5,16,532.73,Moderate
Departamento,5,18,201.37,Efficient
Departamento,10,22,469.55,Inefficient
Departamento,6,21,412.89,Inefficient
Casa,8,17,1033.89,Inefficient
Departamento,5,19,260.01,Inefficient
Departamento,11,19,366.86,Efficient
Casa,9,16,317.82,Efficient
Departamento,4,18,375.07,Moderate
Casa,4,20,436.03,Efficient
Casa,19,15,680.23,Moderate
Departamento,14,18,455.0,Efficient
Casa,7,19,441.13,Moderate
Pequeño Comercio,12,17,339.26,Efficient
Casa,5,20,2109.3999889798924,Efficient
Departamento,11,18,310.4,Efficient
Casa,16,16,1023.36,Efficient
Casa,5,15,469.9,Moderate
Departamento,6,19,227.56,Moderate
Departamento,5,23,377.46,Inefficient
Departamento,8,18,373.77,Moderate
Departamento,14,18,614.28,Moderate
Departamento,19,20,1174.77,Moderate
Casa,6,23,693.2,Moderate
Pequeño Comercio,18,20,462.83,Efficient
Pequeño Comercio,17,17,622.3,Moderate
Departamento,6,17,300.72,Moderate
Casa,13,18,691.42,Inefficient
Pequeño Comercio,5,18,396.06,Moderate
Casa,11,20,753.14,Moderate
Casa,15,19,1037.71,Moderate
Casa,19,19,268.82,Efficient
Departamento,4,20,192.13,Efficient
Pequeño Comercio,14,19,720.37,Moderate
Pequeño Comercio,3,18,69.65,Efficient
Casa,9,18,335.37,Efficient
Pequeño Comercio,4,19,166.35,Moderate
Casa,14,21,284.41,Efficient
Casa,13,19,339.2,Moderate
Departamento,7,14,187.83,Moderate
Departamento,15,16,413.32,Inefficient
Casa,9,22,498.54,Inefficient
Casa,15,19,1028.43,Moderate
Casa,9,17,611.07,Moderate
Casa,11,18,485.5,Moderate
Departamento,5,17,335.32,Moderate
Departamento,10,22,647.26,Moderate
Casa,5,19,391.68,Moderate
Casa,24,16,1489.38,Inefficient
Casa,8,19,260.26,Moderate
Casa,16,20,163.7,Efficient
Pequeño Comercio,4,21,313.39,Efficient
Departamento,4,20,103.59,Efficient
Casa,13,16,338.91,Efficient
Departamento,3,20,343.74,Moderate
Pequeño Comercio,4,19,141.91,Efficient
Casa,8,20,185.51,Moderate
Departamento,8,14,904.58,Inefficient
Departamento,6,21,496.51,Moderate
Departamento,5,17,262.94,Moderate
Casa,13,18,359.25,Efficient
Casa,9,18,248.93,Inefficient
Departamento,7,21,699.47,Inefficient
Casa,8,19,516.99,Moderate
Casa,17,19,987.05,Moderate
Casa,4,22,191.72,Efficient
Departamento,6,19,225.98,Efficient
Departamento,13,21,434.4,Moderate
Departamento,9,19,824.81,Inefficient
Casa,11,18,559.33,Moderate
Pequeño Comercio,5,20,529.18,Inefficient
Departamento,4,17,240.71,Moderate
Casa,17,21,1047.93,Inefficient
Casa,7,15,246.02,Efficient
Pequeño Comercio,9,16,404.97,Efficient
Casa,9,20,650.55,Moderate
Casa,6,22,572.58,Moderate
Departamento,6,20,575.82,Moderate
Pequeño Comercio,12,20,504.06,Moderate
Departamento,9,16,352.06,Moderate
Casa,7,19,428.31,Moderate
Departamento,4,17,256.28,Inefficient
Casa,6,18,314.75,Moderate
Casa,14,17,939.19,Efficient
Casa,19,20,670.09,Inefficient
Departamento,5,19,266.35,Efficient
Casa,9,19,1235.75,Inefficient
Casa,5,21,519.57,Moderate
Casa,17,15,748.66,Efficient
Casa,8,19,577.93,Moderate
Casa,4,20,312.19,Inefficient
Departamento,9,16,307.41,Inefficient
Casa,7,21,1631.56,Moderate
Departamento,14,16,478.13,Efficient
Departamento,4,19,177.13,Moderate
Pequeño Comercio,2,17,221.31,Inefficient
Casa,5,19,494.64,Inefficient
Casa,6,19,310.41,Moderate
Casa,3,15,197.33,Moderate
Casa,7,19,787.32,Efficient
Departamento,6,21,208.78,Moderate
Casa,4,20,403.8,Moderate
Casa,7,16,491.87,Moderate
Casa,6,20,232.26,Efficient
Departamento,4,18,289.7,Moderate
Departamento,3,20,106.07,Moderate
Casa,7,20,483.6,Inefficient
Casa,8,18,769.81,Inefficient
Casa,11,18,1160.02,Moderate
Departamento,9,16,662.77,Moderate
Casa,10,18,657.49,Inefficient
Departamento,6,21,528.56,Inefficient
