id,tipo_vivienda,metros_cuadrados,habitaciones,baños,antiguedad_vivienda,aislamiento,eficiencia_construccion,paneles_solares,cantidad_personas,trabajo_remoto,horas_en_casa,ingreso_mensual,aires_acondicionados,heladeras,televisores,computadoras,lavadoras,secadoras,cantidad_equipos,calefaccion,tipo_calefaccion,tipo_iluminacion,electrodomesticos_eficientes,factor_estacional,temperatura_media,consumo_kwh,uso_horario_pico,horas_alto_consumo,tarifa_kwh,costo_estimado,energy_efficiency_score,categoria
1,Departamento,90.1,2,2,29.0,Poor,B,False,2,False,8.0,1320.89,0,1,0,0,1,0,6,True,Eléctrica,Mixta,74.2,Otoño,22.9,173.68,True,17,0.175,30.39,41.5,Moderate
2,Departamento,88.3,1,1,37.0,Good,C,False,3,False,14.8,1661.13,1,2,2,2,1,0,10,True,Gas,Incandescente,73.6,Verano,26.9,583.18,True,16,0.19,110.8,41.5,Moderate
3,Pequeño Comercio,177.7,6,3,26.0,Excellent,C,False,7,False,8.0,2725.46,4,2,6,6,0,0,24,True,Eléctrica,Mixta,66.2,Primavera,20.7,494.45,True,19,0.173,85.54,56.6,Efficient
4,Casa,138.6,4,2,5.0,Good,A,True,1,True,17.6,2598.16,2,1,1,1,1,0,11,True,Eléctrica,LED,71.4,Otoño,19.3,109.56,True,20,0.201,22.02,83.6,Efficient
5,Departamento,57.7,1,1,16.0,Good,B,False,1,True,,1033.34,1,1,1,3,1,0,13,True,Eléctrica,LED,75.4,Invierno,7.9,380.47,True,18,0.191,72.67,39.8,Moderate
6,Departamento,88.5,3,1,21.0,Poor,D,False,1,False,11.0,,2,1,1,0,1,1,9,True,Eléctrica,Mixta,83.6,Primavera,25.7,243.47,True,17,0.162,39.44,20.9,Inefficient
7,Departamento,70.5,1,1,57.0,Poor,E,False,1,False,12.7,709.62,0,1,1,0,1,0,8,False,Ninguna,Incandescente,71.2,Primavera,22.8,268.0,True,18,0.171,45.83,0.0,Inefficient
8,Departamento,62.1,1,1,45.0,Good,E,False,2,True,21.2,917.84,0,1,3,3,1,0,11,True,Gas,Mixta,60.3,Primavera,25.7,575.19,True,21,0.193,111.01,23.3,Inefficient
9,Casa,166.8,5,5,20.0,Good,D,False,5,False,20.3,3889.14,4,1,3,1,1,0,15,True,Eléctrica,LED,79.7,Primavera,21.9,709.22,True,17,0.203,143.97,60.5,Efficient
10,Casa,92.3,2,3,21.0,Poor,A,False,1,True,20.0,723.84,0,1,2,3,1,0,14,False,Ninguna,Mixta,63.6,Verano,30.8,521.22,True,18,0.177,92.26,2.8,Inefficient
11,Departamento,96.5,2,2,41.0,Average,E,False,3,False,9.9,497.6,0,1,6,7,1,0,19,True,Gas,LED,50.1,Verano,26.8,258.48,True,18,0.161,41.62,35.0,Moderate
12,Departamento,56.0,2,1,17.0,Average,B,False,4,True,19.3,549.18,0,1,5,1,1,0,11,True,Eléctrica,Mixta,71.3,Invierno,11.6,792.95,True,19,0.22,174.45,36.5,Moderate
13,Pequeño Comercio,69.4,4,2,45.0,Excellent,D,False,7,False,14.5,1161.27,1,3,8,7,0,0,22,True,Gas,LED,54.3,Primavera,12.0,420.55,True,20,0.171,71.91,64.5,Efficient
14,Casa,69.0,1,1,35.0,Excellent,D,True,4,False,8.9,,1,1,1,1,1,0,9,True,Gas,LED,60.0,Primavera,16.2,103.39,True,20,0.189,19.54,72.4,Efficient
15,Casa,123.0,2,1,,Good,B,False,3,False,15.7,3400.11,2,1,1,3,1,1,11,True,Eléctrica,Mixta,44.8,Otoño,16.8,546.1,True,19,0.176,96.11,57.3,Efficient
16,Departamento,60.2,1,1,8.0,Good,B,False,1,False,11.9,520.7,2,1,0,0,1,0,10,True,Eléctrica,Mixta,65.1,Verano,35.0,411.94,True,16,0.203,83.62,28.3,Moderate
17,Departamento,101.9,3,1,43.0,Poor,E,False,2,False,11.7,1400.4,0,1,3,1,1,0,13,False,Ninguna,LED,70.2,Verano,29.5,212.74,True,21,0.185,39.36,29.0,Moderate
18,Departamento,57.9,3,5,45.0,Average,E,False,3,False,13.5,2462.48,4,1,1,1,1,0,12,True,Gas,LED,38.5,Otoño,13.7,292.4,True,21,0.162,47.37,33.5,Moderate
19,Departamento,52.6,1,3,38.0,Good,C,False,2,False,14.8,287.37,1,1,2,0,1,0,12,False,Ninguna,Mixta,62.2,Verano,28.3,532.73,True,16,0.153,81.51,44.3,Moderate
20,Departamento,56.9,1,2,47.0,Excellent,A,False,1,False,8.5,1462.06,1,1,0,2,1,0,10,True,Gas,Mixta,56.7,Otoño,20.4,201.37,True,18,0.189,38.06,63.7,Efficient
21,Departamento,45.6,2,3,54.0,Average,E,False,1,True,16.1,964.52,1,2,2,4,1,0,17,True,Gas,Mixta,66.6,Otoño,21.3,469.55,True,22,0.221,103.77,0.0,Inefficient
22,Departamento,61.5,2,3,30.0,Poor,E,False,1,True,22.4,1245.1,1,2,0,2,1,0,11,True,Eléctrica,Mixta,58.4,Otoño,14.8,412.89,True,21,0.165,68.13,0.0,Inefficient
23,Casa,199.6,4,4,16.0,Good,C,False,3,True,20.1,3118.31,1,1,0,5,1,0,14,True,Eléctrica,Incandescente,63.3,Otoño,18.4,1033.89,True,17,0.181,187.13,21.4,Inefficient
24,Departamento,69.7,4,4,30.0,Poor,D,False,1,True,21.2,1317.57,0,1,1,2,1,0,6,True,Eléctrica,Mixta,71.7,Primavera,20.1,260.01,True,19,0.186,48.36,20.2,Inefficient
25,Departamento,59.2,1,1,27.0,Good,C,False,3,False,8.6,2062.98,2,2,3,2,1,1,17,False,Ninguna,LED,78.4,Verano,24.1,366.86,True,19,0.162,59.43,67.1,Efficient
26,Casa,140.5,2,2,41.0,Average,A,False,4,False,12.6,2158.5,2,2,2,2,1,0,14,True,Gas,LED,77.4,Primavera,18.8,317.82,True,16,0.146,46.4,62.8,Efficient
27,Departamento,107.6,2,1,35.0,Excellent,E,False,2,False,16.0,652.42,0,1,1,1,1,0,6,True,Gas,Mixta,56.6,Otoño,15.0,375.07,True,18,0.188,70.51,43.5,Moderate
28,Casa,119.2,1,1,24.0,Excellent,A,False,1,True,,696.77,1,1,0,1,1,0,11,True,Eléctrica,Mixta,72.8,Primavera,16.6,436.03,True,20,0.161,70.2,53.8,Efficient
29,Casa,381.4,7,3,24.0,Poor,C,False,5,False,8.3,13892.3,3,2,8,5,1,0,23,False,Ninguna,Incandescente,86.3,Primavera,16.8,680.23,True,15,0.19,129.24,27.7,Moderate
30,Departamento,100.7,7,4,19.0,Excellent,B,False,7,True,16.3,1121.45,0,2,6,5,1,0,18,True,Eléctrica,LED,95.9,Otoño,16.8,455.0,True,18,0.191,86.9,86.3,Efficient
31,Casa,89.7,1,1,48.0,Average,B,False,2,False,15.8,2823.35,2,1,2,0,1,1,13,True,Gas,Mixta,65.0,Invierno,6.5,441.13,True,19,0.157,69.26,29.3,Moderate
32,Pequeño Comercio,62.1,1,1,19.0,Good,B,False,5,False,,583.91,1,3,4,4,0,0,15,True,Eléctrica,LED,72.6,Otoño,13.5,339.26,True,17,0.201,68.19,74.9,Efficient
33,Casa,136.8,2,2,10.0,Excellent,C,True,2,False,11.4,1932.91,1,1,2,0,1,0,7,True,Eléctrica,LED,62.9,Verano,28.1,2109.3999889798924,True,20,0.193,31.44,83.7,Efficient
34,Departamento,97.8,4,5,35.0,Excellent,E,False,2,False,15.4,633.15,0,1,5,4,1,0,15,True,Gas,LED,85.4,Invierno,7.1,310.4,True,18,0.177,54.94,56.1,Efficient
35,Casa,145.8,4,4,16.0,Good,A,False,7,True,20.7,2733.23,3,1,9,1,1,1,24,True,Eléctrica,Mixta,65.9,Invierno,7.7,1023.36,True,16,0.216,221.05,54.0,Efficient
36,Casa,103.7,1,1,,Poor,B,False,4,False,8.8,526.16,1,2,1,0,1,0,12,True,Eléctrica,Mixta,87.7,Verano,27.6,469.9,True,15,0.184,86.46,31.7,Moderate
37,Departamento,45.2,1,1,36.0,Excellent,D,False,1,False,12.7,644.79,0,1,1,2,1,1,8,True,Gas,Mixta,57.9,Verano,24.9,227.56,True,19,0.198,45.06,31.9,Moderate
38,Departamento,97.6,3,1,66.0,Average,E,False,2,False,10.4,1445.67,0,1,2,1,1,0,11,True,Gas,Incandescente,41.0,Otoño,11.7,377.46,True,23,0.166,62.66,10.1,Inefficient
39,Departamento,71.0,4,2,24.0,Excellent,E,False,3,False,13.6,1062.39,1,1,1,4,1,0,15,False,Ninguna,Mixta,78.6,Otoño,13.7,373.77,True,18,0.169,63.17,48.1,Moderate
40,Departamento,51.1,2,1,31.0,Good,E,False,7,False,10.6,413.0,0,1,7,5,1,0,18,True,Gas,Incandescente,64.1,Otoño,9.7,614.28,True,18,0.203,124.7,31.7,Moderate
